
i1.1,松20
i1.2,松园餐厅
i1.3,菊园餐厅
i1.4,中心体育馆
i1.5,中心体育场
i1.6,荷园2餐厅
i1.7,荷园1餐厅
i1.8,风味园餐厅
i1.9,聚英园餐厅
i2.1,信息工程学院
i2.2,行政楼
i3.1,图书馆
i3.2,信息工程学院科技楼
i4.1,钟楼
i4.2,西门
i4.3,东门
i4.4,南门
i4.5,厚山
i4.6,医学院
i4.7,北门


i1.1.1,楼梯
i1.1.2,洗手间
i1.1.3,101储物间
i1.1.4,大门
i1.2.1,105
i1.2.2,103接待处
i1.2.3,102门卫值班处
i1.2.4,104
i1.3.1,109
i1.3.2,107
i1.3.3,106
i1.3.4,108
i1.4.1,113
i1.4.2,111
i1.4.3,110
i1.4.4,112
i1.5.1,117
i1.5.2,115
i1.5.3,114
i1.5.4,116
i1.6.1,118配电室
i1.6.2,楼梯

i2.1.1,楼梯
i2.1.2,洗手间
i2.1.3,201储物间
i2.2.1,205
i2.2.2,203
i2.2.3,202
i2.2.4,204
i2.3.1,209
i2.3.2,207
i2.3.3,206
i2.3.4,208
i2.4.1,213
i2.4.2,211
i2.4.3,210
i2.4.4,212
i2.5.1,217
i2.5.2,215
i2.5.3,214
i2.5.4,216
i2.6.2,楼梯

i3.1.1,楼梯
i3.1.2,洗手间
i3.1.3,预留
i3.1.4,301
i3.2.1,305
i3.2.2,303
i3.2.3,302
i3.2.4,304
i3.3.1,309
i3.3.2,307
i3.3.3,306
i3.3.4,308
i3.4.1,313
i3.4.2,311
i3.4.3,310
i3.4.4,312
i3.5.1,317
i3.5.2,315
i3.5.3,314
i3.5.4,316
i3.6.2,楼梯

i4.1.1,楼梯
i4.1.2,洗手间
i4.1.3,401
i4.1.4,402
i4.2.1,406
i4.2.2,404
i4.2.3,403
i4.2.4,405
i4.3.1,410
i4.3.2,408
i4.3.3,407
i4.3.4,409
i4.4.1,414
i4.4.2,412
i4.4.3,411
i4.4.4,413
i4.5.1,418
i4.5.2,416
i4.5.3,415
i4.5.4,417
i4.6.2,楼梯

i5.1.1,楼梯
i5.1.2,洗手间
i5.1.3,501
i5.1.4,502
i5.2.1,506
i5.2.2,504
i5.2.3,503
i5.2.4,505
i5.3.1,510
i5.3.2,508
i5.3.3,507
i5.3.4,509
i5.4.1,514
i5.4.2,512
i5.4.3,511
i5.4.4,513
i5.5.1,518
i5.5.2,516
i5.5.3,515
i5.5.4,517
i5.6.2,楼梯

i6.1.1,楼梯
i6.1.2,洗手间
i6.1.3,601
i6.1.4,602
i6.2.1,604
i6.2.2,603
i6.2.3,605
i6.3.1,606
i6.3.2,607
i6.4.1,608
i6.4.2,609
i6.5.1,610
i6.5.2,611
i6.6.1,612
i6.6.2,楼梯


y1.1.1,103
y1.1.2,大门
y1.1.3,楼梯
y1.1.4,101
y1.1.5,102
y1.2.1,105
y1.2.2,104
y1.3.1,107
y1.3.2,106
y1.4.1,109
y1.4.2,108
y1.5.1,大门
y1.5.2,洗手间
y1.6.1,110
y1.6.2,111
y1.7.1,112
y1.7.2,113
y1.8.1,114
y1.8.2,115
y1.9.1,116
y1.9.2,117
y1.10.1,118
y1.10.2,119
y1.11.1,120
y1.11.2,121
y1.12.1,122
y1.12.2,123
y1.13.1,124
y1.13.2,125
y1.14.1,楼梯
y1.14.2,126

y2.1.1,教工之家
y2.2.1,203
y2.3.1,204
y2.4.1,205
y2.4.2,206
y2.5.1,207
y2.5.2,208
y2.6.1,楼梯
y2.6.2,洗手间
y2.7.1,209
y2.7.2,210
y2.8.1,211
y2.8.2,212
y2.9.1,213
y2.9.2,214
y2.10.1,215
y2.10.2,216
y2.11.1,217
y2.11.2,218
y2.12.1,219
y2.12.2,220
y2.13.1,221
y2.13.2,222
y2.14.1,223
y2.14.2,224
y2.15.2,楼梯

y3.1.1,洗手间
y3.1.2,楼梯
y3.1.3,301
y3.2.1,302
y3.2.2,303
y3.3.1,304
y3.4.1,305
y3.4.2,306
y3.5.1,楼梯
y3.5.2,洗手间
y3.6.1,307
y3.6.2,308
y3.7.1,309
y3.7.2,310
y3.8.1,311
y3.8.2,312
y3.9.1,313
y3.9.2,314
y3.10.1,315
y3.10.2,316
y3.11.1,317
y3.11.2,318
y3.12.1,319
y3.12.2,320
y3.13.1,321
y3.13.2,322
y3.14.1,楼梯
y3.14.2,

y4.1.1,洗手间
y4.1.2,楼梯
y4.1.3,401
y4.2.1,402
y4.2.2,403
y4.3.1,404
y4.4.1,405
y4.4.2,406
y4.5.1,楼梯
y4.5.2,洗手间
y4.6.1,407
y4.6.2,408
y4.6.3,409
y4.7.1,410
y4.7.2,411
y4.7.3,412
y4.8.1,415
y4.8.2,413
y4.8.3,414
y4.8.4,416
y4.9.1,417
y4.9.2,418
y4.10.1,421
y4.10.2,419
y4.10.3,420
y4.10.4,422
y4.11.1,425
y4.11.2,423
y4.11.3,424
y4.11.4,426
y4.12.1,429
y4.12.2,427
y4.12.3,428
y4.12.4,430
y4.13.1,433
y4.13.2,431
y4.13.3,432
y4.13.4,434
y4.14.1,楼梯
y4.14.2,

y5.1.1,洗手间
y5.1.2,楼梯
y5.1.3,501
y5.2.1,502
y5.2.2,503
y5.3.1,504
y5.4.1,505
y5.4.2,506
y5.5.1,楼梯
y5.5.2,洗手间
y5.6.2,507
y5.6.3,508
y5.6.4,天台
